,LogFile,Scanner,Software,Voxelsize,Voxelsize_rounded,Source,Camera,Exposure,Averaging,Voltage,Current,Filter,Stacks,NumProj,ProjSize,RotationStep,Wide,ThreeSixty,Version,RingRemoval,Beamhardening,DefectPixelMasking,GrayValue,RecSize,ROI,RecRotation,Duration,Date
0,logfiles/cichlids/104016/head/proj/104016.log,SkyScan 2214,1.8,13.001449,13.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",740,,70.0,137.0,False,3,1104,"(1536, 972)",0.2,False,False,"('NRecon', '2.1.0.1')",,,,0.16521,"(1488, 864)","(1187, 322, 23, 1514)",238.77,2359.0,2022-01-27 13:32:59
1,logfiles/cichlids/104016/head/proj/104016~00.log,SkyScan 2214,1.8,13.001449,13.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",740,,70.0,137.0,False,1,1104,"(1536, 972)",0.2,False,False,"(None, None)",,,,,"(None, None)",False,,2359.0,2022-01-27 13:32:59
2,logfiles/cichlids/104016/head/proj/104016~01.log,SkyScan 2214,1.8,13.001449,13.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",740,,70.0,137.0,False,1,1104,"(1536, 972)",0.2,False,False,"(None, None)",,,,,"(None, None)",False,,2341.0,2022-01-27 14:13:04
3,logfiles/cichlids/104016/head/proj/104016~02.log,SkyScan 2214,1.8,13.001449,13.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",740,,70.0,137.0,False,1,1104,"(1536, 972)",0.2,False,False,"(None, None)",,,,,"(None, None)",False,,2338.0,2022-01-27 14:53:07
4,logfiles/cichlids/104016/head/rec/104016_rec.log,SkyScan 2214,1.8,13.001449,13.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",740,,70.0,137.0,False,3,1104,"(1536, 972)",0.2,False,False,"('NRecon', '2.1.0.1')",,,,0.16521,"(1488, 864)","(1187, 322, 23, 1514)",238.77,2359.0,2022-01-27 13:32:59
5,logfiles/tooth-battalion/1/proj/Tooth001.log,SkyScan 1272,1.1.19,8.559493,8.56,Hamamatsu L11871_20,XIMEA xiRAY16,950,3.0,80.0,125.0,Al 1mm,4,319,"(1632, 1092)",0.6,False,False,"('NRecon', '1.7.4.6')",14.0,,,0.18,"(1632, 1632)",False,0.0,1589.0,2020-06-22 09:42:57
6,logfiles/tooth-battalion/1/proj/Tooth001~00.log,SkyScan 1272,1.1.19,8.559493,8.56,Hamamatsu L11871_20,XIMEA xiRAY16,950,3.0,80.0,125.0,Al 1mm,1,319,"(1632, 1092)",0.6,False,False,"(None, None)",,,,,"(None, None)",False,,1589.0,2020-06-22 09:42:57
7,logfiles/tooth-battalion/1/proj/Tooth001~01.log,SkyScan 1272,1.1.19,8.559493,8.56,Hamamatsu L11871_20,XIMEA xiRAY16,950,3.0,80.0,125.0,Al 1mm,1,319,"(1632, 1092)",0.6,False,False,"(None, None)",,,,,"(None, None)",False,,1588.0,2020-06-22 10:09:31
8,logfiles/tooth-battalion/1/proj/Tooth001~02.log,SkyScan 1272,1.1.19,8.559493,8.56,Hamamatsu L11871_20,XIMEA xiRAY16,950,3.0,80.0,125.0,Al 1mm,1,319,"(1632, 1092)",0.6,False,False,"(None, None)",,,,,"(None, None)",False,,1581.0,2020-06-22 10:35:58
9,logfiles/tooth-battalion/1/proj/Tooth001~03.log,SkyScan 1272,1.1.19,8.559493,8.56,Hamamatsu L11871_20,XIMEA xiRAY16,950,3.0,80.0,125.0,Al 1mm,1,319,"(1632, 1092)",0.6,False,False,"(None, None)",,,,,"(None, None)",False,,1580.0,2020-06-22 11:02:24
10,logfiles/tooth-battalion/1/rec/Tooth001_rec.log,SkyScan 1272,1.1.19,8.559493,8.56,Hamamatsu L11871_20,XIMEA xiRAY16,950,3.0,80.0,125.0,Al 1mm,4,319,"(1632, 1092)",0.6,False,False,"('NRecon', '1.7.4.6')",14.0,,,0.18,"(1632, 1632)",False,0.0,1589.0,2020-06-22 09:42:57
