SKYSCAN_1272 TEST RESULTS 	

Instrument SN: 15G09089-B
Control software version: 1.1.7
X-Ray Source: HAMAMATSU_L11871_20
Emission: 304 hours	
Voltage: 80kV,	 Current: 125uA	 CCD chip:20.4C
Date and Time: Aug 29, 2016  08:49:27

    test start

id	time	intensity	CCD chip
001	00h:00m:02s	2.7%	20.4C
002	00h:00m:09s	2.7%	20.3C
003	00h:00m:15s	2.7%	20.3C
004	00h:00m:21s	2.7%	20.2C
005	00h:00m:28s	2.7%	20.2C
006	00h:00m:35s	2.7%	20.1C
007	00h:00m:41s	2.7%	20.1C
008	00h:00m:48s	2.7%	20.0C
009	00h:00m:54s	2.7%	20.0C
010	00h:01m:02s	42.2%	19.9C
011	00h:01m:08s	46.2%	19.9C
012	00h:01m:14s	46.3%	19.9C
013	00h:01m:21s	46.3%	19.9C
014	00h:01m:27s	46.3%	19.8C
015	00h:01m:33s	46.3%	19.8C
016	00h:01m:41s	46.3%	19.8C
017	00h:01m:47s	46.3%	19.7C
018	00h:01m:54s	46.3%	19.7C
019	00h:02m:00s	46.4%	19.7C
020	00h:02m:06s	46.4%	19.7C
021	00h:02m:13s	46.4%	19.7C
022	00h:02m:19s	46.4%	19.6C
023	00h:02m:25s	46.4%	19.6C
024	00h:02m:32s	46.4%	19.6C
025	00h:02m:39s	46.4%	19.6C
026	00h:02m:46s	46.4%	19.6C
027	00h:02m:54s	46.4%	19.5C
028	00h:03m:01s	46.4%	19.5C
029	00h:03m:08s	46.4%	19.5C
030	00h:03m:15s	46.4%	19.5C
031	00h:03m:21s	46.4%	19.5C
032	00h:03m:27s	46.4%	19.5C
033	00h:03m:34s	46.4%	19.5C
034	00h:03m:41s	46.3%	19.5C
035	00h:03m:48s	46.4%	19.5C
036	00h:03m:54s	46.4%	19.5C
037	00h:04m:01s	46.4%	19.5C
038	00h:04m:09s	46.4%	19.5C
039	00h:04m:16s	46.5%	19.5C
040	00h:04m:23s	46.5%	19.4C
041	00h:04m:30s	46.5%	19.4C
042	00h:04m:37s	46.5%	19.4C
043	00h:04m:44s	46.5%	19.4C
044	00h:04m:51s	46.5%	19.4C
045	00h:04m:58s	46.6%	19.4C
046	00h:05m:05s	46.6%	19.4C
047	00h:05m:12s	46.6%	19.4C
048	00h:05m:19s	46.6%	19.4C
049	00h:05m:27s	46.6%	19.4C
050	00h:05m:34s	46.6%	19.4C
051	00h:05m:41s	46.6%	19.4C
052	00h:05m:47s	46.6%	19.4C
053	00h:05m:54s	46.6%	19.4C
054	00h:06m:01s	46.7%	19.4C
055	00h:06m:08s	46.6%	19.4C
056	00h:06m:15s	46.7%	19.4C
